数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,苯酚,华东地区,苏南,8300,8300,8300,50,0.61%,元/吨,,Phenol_Domestic,3
2026/07/20,苯酚,华东地区,苏南,8200,8300,8250,175,2.17%,元/吨,,Phenol_Domestic,3
2026/07/17,苯酚,华东地区,苏南,8050,8100,8075,-50,-0.62%,元/吨,,Phenol_Domestic,3
2026/07/16,苯酚,华东地区,苏南,8100,8150,8125,-125,-1.52%,元/吨,,Phenol_Domestic,3
2026/07/15,苯酚,华东地区,苏南,8200,8300,8250,25,0.3%,元/吨,,Phenol_Domestic,3
2026/07/14,苯酚,华东地区,苏南,8150,8300,8225,150,1.86%,元/吨,,Phenol_Domestic,3
2026/07/13,苯酚,华东地区,苏南,8000,8150,8075,50,0.62%,元/吨,,Phenol_Domestic,3
2026/07/10,苯酚,华东地区,苏南,7950,8100,8025,-125,-1.53%,元/吨,,Phenol_Domestic,3
2026/07/09,苯酚,华东地区,苏南,8100,8200,8150,125,1.56%,元/吨,,Phenol_Domestic,3
2026/07/08,苯酚,华东地区,苏南,7950,8100,8025,200,2.56%,元/吨,,Phenol_Domestic,3
2026/07/07,苯酚,华东地区,苏南,7800,7850,7825,25,0.32%,元/吨,,Phenol_Domestic,3
2026/07/06,苯酚,华东地区,苏南,7750,7850,7800,125,1.63%,元/吨,,Phenol_Domestic,3
2026/07/03,苯酚,华东地区,苏南,7650,7700,7675,100,1.32%,元/吨,,Phenol_Domestic,3
2026/07/02,苯酚,华东地区,苏南,7550,7600,7575,-90,-1.17%,元/吨,,Phenol_Domestic,3
2026/07/01,苯酚,华东地区,苏南,7630,7700,7665,-40,-0.52%,元/吨,,Phenol_Domestic,3
2026/06/30,苯酚,华东地区,苏南,7680,7730,7705,205,2.73%,元/吨,,Phenol_Domestic,3
2026/06/29,苯酚,华东地区,苏南,7450,7550,7500,75,1.01%,元/吨,,Phenol_Domestic,3
2026/06/26,苯酚,华东地区,苏南,7350,7500,7425,25,0.34%,元/吨,,Phenol_Domestic,3
2026/06/25,苯酚,华东地区,苏南,7350,7450,7400,-250,-3.27%,元/吨,,Phenol_Domestic,3
2026/06/24,苯酚,华东地区,苏南,7600,7700,7650,-75,-0.97%,元/吨,,Phenol_Domestic,3
2026/06/23,苯酚,华东地区,苏南,7700,7750,7725,0,0%,元/吨,,Phenol_Domestic,3
2026/06/22,苯酚,华东地区,苏南,7650,7800,7725,175,2.32%,元/吨,,Phenol_Domestic,3
2026/06/18,苯酚,华东地区,苏南,7500,7600,7550,25,0.33%,元/吨,,Phenol_Domestic,3
2026/06/17,苯酚,华东地区,苏南,7450,7600,7525,-275,-3.53%,元/吨,,Phenol_Domestic,3
2026/06/16,苯酚,华东地区,苏南,7700,7900,7800,-175,-2.19%,元/吨,,Phenol_Domestic,3
2026/06/15,苯酚,华东地区,苏南,7950,8000,7975,-90,-1.12%,元/吨,,Phenol_Domestic,3
2026/06/12,苯酚,华东地区,苏南,8050,8080,8065,-35,-0.43%,元/吨,,Phenol_Domestic,3
2026/06/11,苯酚,华东地区,苏南,8050,8150,8100,125,1.57%,元/吨,,Phenol_Domestic,3
2026/06/10,苯酚,华东地区,苏南,7950,8000,7975,-25,-0.31%,元/吨,,Phenol_Domestic,3
2026/06/09,苯酚,华东地区,苏南,7950,8050,8000,25,0.31%,元/吨,,Phenol_Domestic,3
2026/06/08,苯酚,华东地区,苏南,7900,8050,7975,200,2.57%,元/吨,,Phenol_Domestic,3
2026/06/05,苯酚,华东地区,苏南,7750,7800,7775,10,0.13%,元/吨,,Phenol_Domestic,3
2026/06/04,苯酚,华东地区,苏南,7730,7800,7765,65,0.84%,元/吨,,Phenol_Domestic,3
2026/06/03,苯酚,华东地区,苏南,7600,7800,7700,260,3.49%,元/吨,,Phenol_Domestic,3
2026/06/02,苯酚,华东地区,苏南,7380,7500,7440,55,0.74%,元/吨,,Phenol_Domestic,3
2026/06/01,苯酚,华东地区,苏南,7370,7400,7385,-20,-0.27%,元/吨,,Phenol_Domestic,3
2026/05/29,苯酚,华东地区,苏南,7400,7410,7405,-20,-0.27%,元/吨,,Phenol_Domestic,3
2026/05/28,苯酚,华东地区,苏南,7350,7500,7425,-50,-0.67%,元/吨,,Phenol_Domestic,3
2026/05/27,苯酚,华东地区,苏南,7400,7550,7475,-200,-2.61%,元/吨,,Phenol_Domestic,3
2026/05/26,苯酚,华东地区,苏南,7650,7700,7675,-75,-0.97%,元/吨,,Phenol_Domestic,3
2026/05/25,苯酚,华东地区,苏南,7750,7750,7750,-25,-0.32%,元/吨,,Phenol_Domestic,3
2026/05/22,苯酚,华东地区,苏南,7750,7800,7775,-50,-0.64%,元/吨,,Phenol_Domestic,3
2026/05/21,苯酚,华东地区,苏南,7800,7850,7825,-125,-1.57%,元/吨,,Phenol_Domestic,3
2026/05/20,苯酚,华东地区,苏南,7900,8000,7950,-100,-1.24%,元/吨,,Phenol_Domestic,3
2026/05/19,苯酚,华东地区,苏南,8000,8100,8050,-50,-0.62%,元/吨,,Phenol_Domestic,3
2026/05/18,苯酚,华东地区,苏南,8050,8150,8100,300,3.85%,元/吨,,Phenol_Domestic,3
2026/05/15,苯酚,华东地区,苏南,7780,7800,7800,10,0.13%,元/吨,,Phenol_Domestic,3
2026/05/14,苯酚,华东地区,苏南,7780,7800,7790,15,0.19%,元/吨,,Phenol_Domestic,3
2026/05/13,苯酚,华东地区,苏南,7750,7800,7775,40,0.52%,元/吨,,Phenol_Domestic,3
2026/05/12,苯酚,华东地区,苏南,7720,7750,7735,10,0.13%,元/吨,,Phenol_Domestic,3
2026/05/11,苯酚,华东地区,苏南,7700,7750,7725,100,1.31%,元/吨,,Phenol_Domestic,3
2026/05/09,苯酚,华东地区,苏南,7600,7650,7625,-75,-0.97%,元/吨,,Phenol_Domestic,3
2026/05/08,苯酚,华东地区,苏南,7650,7750,7700,-275,-3.45%,元/吨,,Phenol_Domestic,3
2026/05/07,苯酚,华东地区,苏南,7850,8100,7975,-400,-4.78%,元/吨,,Phenol_Domestic,3
2026/05/06,苯酚,华东地区,苏南,8350,8400,8375,0,0%,元/吨,,Phenol_Domestic,3
2026/04/30,苯酚,华东地区,苏南,8350,8400,8375,0,0%,元/吨,,Phenol_Domestic,3
2026/04/29,苯酚,华东地区,苏南,8350,8400,8375,-35,-0.42%,元/吨,,Phenol_Domestic,3
2026/04/28,苯酚,华东地区,苏南,8380,8440,8410,-25,-0.3%,元/吨,,Phenol_Domestic,3
2026/04/27,苯酚,华东地区,苏南,8420,8450,8435,-15,-0.18%,元/吨,,Phenol_Domestic,3
2026/04/24,苯酚,华东地区,苏南,8450,8450,8450,75,0.9%,元/吨,,Phenol_Domestic,3
2026/04/23,苯酚,华东地区,苏南,8350,8400,8375,-15,-0.18%,元/吨,,Phenol_Domestic,3
2026/04/22,苯酚,华东地区,苏南,8380,8400,8390,-60,-0.71%,元/吨,,Phenol_Domestic,3
