数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/15,甲醇,西北地区,陕西关中,2260,2290,2275,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/14,甲醇,西北地区,陕西关中,2260,2290,2275,15,0.66%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/13,甲醇,西北地区,陕西关中,2230,2290,2260,55,2.49%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/10,甲醇,西北地区,陕西关中,2180,2230,2205,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/09,甲醇,西北地区,陕西关中,2180,2230,2205,15,0.68%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/08,甲醇,西北地区,陕西关中,2160,2220,2190,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/07,甲醇,西北地区,陕西关中,2160,2220,2190,-35,-1.57%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/06,甲醇,西北地区,陕西关中,2200,2250,2225,-15,-0.67%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/03,甲醇,西北地区,陕西关中,2200,2280,2240,-20,-0.88%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/02,甲醇,西北地区,陕西关中,2220,2300,2260,-70,-3%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/01,甲醇,西北地区,陕西关中,2300,2360,2330,-55,-2.31%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/30,甲醇,西北地区,陕西关中,2340,2430,2385,-45,-1.85%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/29,甲醇,西北地区,陕西关中,2390,2470,2430,5,0.21%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/26,甲醇,西北地区,陕西关中,2400,2450,2425,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/25,甲醇,西北地区,陕西关中,2400,2450,2425,-160,-6.19%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/24,甲醇,西北地区,陕西关中,2550,2620,2585,-65,-2.45%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/23,甲醇,西北地区,陕西关中,2620,2680,2650,-75,-2.75%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/22,甲醇,西北地区,陕西关中,2700,2750,2725,-10,-0.37%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/18,甲醇,西北地区,陕西关中,2710,2760,2735,-25,-0.91%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/17,甲醇,西北地区,陕西关中,2740,2780,2760,-10,-0.36%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/16,甲醇,西北地区,陕西关中,2750,2790,2770,-45,-1.6%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/15,甲醇,西北地区,陕西关中,2790,2840,2815,-30,-1.05%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/12,甲醇,西北地区,陕西关中,2820,2870,2845,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/11,甲醇,西北地区,陕西关中,2820,2870,2845,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/10,甲醇,西北地区,陕西关中,2820,2870,2845,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/09,甲醇,西北地区,陕西关中,2820,2870,2845,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/08,甲醇,西北地区,陕西关中,2820,2870,2845,80,2.89%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/05,甲醇,西北地区,陕西关中,2740,2790,2765,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/04,甲醇,西北地区,陕西关中,2740,2790,2765,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/03,甲醇,西北地区,陕西关中,2740,2790,2765,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/02,甲醇,西北地区,陕西关中,2740,2790,2765,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,西北地区,陕西关中,2740,2790,2765,35,1.28%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,西北地区,陕西关中,2700,2760,2730,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,西北地区,陕西关中,2700,2760,2730,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/27,甲醇,西北地区,陕西关中,2700,2760,2730,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/26,甲醇,西北地区,陕西关中,2700,2760,2730,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/25,甲醇,西北地区,陕西关中,2700,2760,2730,45,1.68%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/22,甲醇,西北地区,陕西关中,2660,2710,2685,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/21,甲醇,西北地区,陕西关中,2660,2710,2685,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/20,甲醇,西北地区,陕西关中,2660,2710,2685,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/19,甲醇,西北地区,陕西关中,2660,2710,2685,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/18,甲醇,西北地区,陕西关中,2660,2710,2685,45,1.7%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/15,甲醇,西北地区,陕西关中,2640,2640,2640,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/14,甲醇,西北地区,陕西关中,2640,2640,2640,-45,-1.68%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/13,甲醇,西北地区,陕西关中,2660,2710,2685,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/12,甲醇,西北地区,陕西关中,2660,2710,2685,-15,-0.56%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/11,甲醇,西北地区,陕西关中,2690,2710,2700,-5,-0.18%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/09,甲醇,西北地区,陕西关中,2660,2750,2705,-20,-0.73%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/08,甲醇,西北地区,陕西关中,2700,2750,2725,-25,-0.91%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/07,甲醇,西北地区,陕西关中,2720,2780,2750,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/06,甲醇,西北地区,陕西关中,2720,2780,2750,35,1.29%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/30,甲醇,西北地区,陕西关中,2680,2750,2715,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/29,甲醇,西北地区,陕西关中,2680,2750,2715,10,0.37%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/28,甲醇,西北地区,陕西关中,2660,2750,2705,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/27,甲醇,西北地区,陕西关中,2660,2750,2705,-5,-0.18%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/24,甲醇,西北地区,陕西关中,2660,2760,2710,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/23,甲醇,西北地区,陕西关中,2660,2760,2710,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/22,甲醇,西北地区,陕西关中,2660,2760,2710,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/21,甲醇,西北地区,陕西关中,2660,2760,2710,-50,-1.81%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/20,甲醇,西北地区,陕西关中,2720,2800,2760,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/17,甲醇,西北地区,陕西关中,2720,2800,2760,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/16,甲醇,西北地区,陕西关中,2720,2800,2760,-10,-0.36%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/15,甲醇,西北地区,陕西关中,2740,2800,2770,-5,-0.18%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/14,甲醇,西北地区,陕西关中,2750,2800,2775,-40,-1.42%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/13,甲醇,西北地区,陕西关中,2780,2850,2815,55,1.99%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/10,甲醇,西北地区,陕西关中,2730,2790,2760,-15,-0.54%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/09,甲醇,西北地区,陕西关中,2750,2800,2775,-25,-0.89%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/08,甲醇,西北地区,陕西关中,2750,2850,2800,-60,-2.1%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/07,甲醇,西北地区,陕西关中,2840,2880,2860,105,3.81%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/03,甲醇,西北地区,陕西关中,2700,2810,2755,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/02,甲醇,西北地区,陕西关中,2700,2810,2755,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/01,甲醇,西北地区,陕西关中,2700,2810,2755,-45,-1.61%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/31,甲醇,西北地区,陕西关中,2750,2850,2800,-25,-0.88%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/30,甲醇,西北地区,陕西关中,2800,2850,2825,215,8.24%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/27,甲醇,西北地区,陕西关中,2560,2660,2610,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/26,甲醇,西北地区,陕西关中,2560,2660,2610,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/25,甲醇,西北地区,陕西关中,2560,2660,2610,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/24,甲醇,西北地区,陕西关中,2560,2660,2610,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/23,甲醇,西北地区,陕西关中,2560,2660,2610,190,7.85%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/20,甲醇,西北地区,陕西关中,2410,2430,2420,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/19,甲醇,西北地区,陕西关中,2410,2430,2420,70,2.98%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/18,甲醇,西北地区,陕西关中,2300,2400,2350,25,1.08%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/17,甲醇,西北地区,陕西关中,2300,2350,2325,-25,-1.06%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/16,甲醇,西北地区,陕西关中,2300,2400,2350,90,3.98%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/13,甲醇,西北地区,陕西关中,2260,2260,2260,-20,-0.88%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/12,甲醇,西北地区,陕西关中,2260,2300,2280,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/11,甲醇,西北地区,陕西关中,2260,2300,2280,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/10,甲醇,西北地区,陕西关中,2260,2300,2280,-50,-2.15%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/09,甲醇,西北地区,陕西关中,2260,2400,2330,185,8.62%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/06,甲醇,西北地区,陕西关中,2110,2180,2145,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/05,甲醇,西北地区,陕西关中,2110,2180,2145,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/04,甲醇,西北地区,陕西关中,2110,2180,2145,75,3.62%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/03,甲醇,西北地区,陕西关中,2030,2110,2070,20,0.98%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/02,甲醇,西北地区,陕西关中,2030,2070,2050,80,4.06%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/28,甲醇,西北地区,陕西关中,1940,2000,1970,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/27,甲醇,西北地区,陕西关中,1940,2000,1970,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/26,甲醇,西北地区,陕西关中,1940,2000,1970,-17.5,-0.88%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/25,甲醇,西北地区,陕西关中,1975,2000,1987.5,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/24,甲醇,西北地区,陕西关中,1975,2000,1987.5,42.5,2.19%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/14,甲醇,西北地区,陕西关中,1930,1960,1945,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/13,甲醇,西北地区,陕西关中,1930,1960,1945,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/12,甲醇,西北地区,陕西关中,1930,1960,1945,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/11,甲醇,西北地区,陕西关中,1930,1960,1945,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/10,甲醇,西北地区,陕西关中,1930,1960,1945,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/09,甲醇,西北地区,陕西关中,1930,1960,1945,75,4.01%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/06,甲醇,西北地区,陕西关中,1850,1890,1870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/05,甲醇,西北地区,陕西关中,1850,1890,1870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/04,甲醇,西北地区,陕西关中,1850,1890,1870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/03,甲醇,西北地区,陕西关中,1850,1890,1870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/02,甲醇,西北地区,陕西关中,1850,1890,1870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/30,甲醇,西北地区,陕西关中,1850,1890,1870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/29,甲醇,西北地区,陕西关中,1850,1890,1870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/28,甲醇,西北地区,陕西关中,1850,1890,1870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/27,甲醇,西北地区,陕西关中,1850,1890,1870,15,0.81%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/26,甲醇,西北地区,陕西关中,1820,1890,1855,-5,-0.27%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/23,甲醇,西北地区,陕西关中,1840,1880,1860,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/22,甲醇,西北地区,陕西关中,1840,1880,1860,-30,-1.59%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/21,甲醇,西北地区,陕西关中,1860,1920,1890,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/20,甲醇,西北地区,陕西关中,1860,1920,1890,-10,-0.53%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/19,甲醇,西北地区,陕西关中,1880,1920,1900,-55,-2.81%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/16,甲醇,西北地区,陕西关中,1940,1970,1955,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/15,甲醇,西北地区,陕西关中,1940,1970,1955,-5,-0.26%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/14,甲醇,西北地区,陕西关中,1940,1980,1960,-30,-1.51%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/13,甲醇,西北地区,陕西关中,1960,2020,1990,-10,-0.5%,元/吨,出厂价,Methanol_Domestic,3
2026/01/12,甲醇,西北地区,陕西关中,1980,2020,2000,-20,-0.99%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/09,甲醇,西北地区,陕西关中,2000,2040,2020,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/08,甲醇,西北地区,陕西关中,2000,2040,2020,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/07,甲醇,西北地区,陕西关中,2000,2040,2020,0,0%,元/吨,出厂价,Methanol_Domestic,3
2026/01/06,甲醇,西北地区,陕西关中,2000,2040,2020,0,0%,元/吨,出厂价,Methanol_Domestic,3
2026/01/05,甲醇,西北地区,陕西关中,2000,2040,2020,10,0.5%,元/吨,厂提现汇,Methanol_Domestic,3
2026/01/04,甲醇,西北地区,陕西关中,2000,2020,2010,5,0.25%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/31,甲醇,西北地区,陕西关中,2000,2010,2005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/30,甲醇,西北地区,陕西关中,2000,2010,2005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/29,甲醇,西北地区,陕西关中,2000,2010,2005,-45,-2.2%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/26,甲醇,西北地区,陕西关中,2040,2060,2050,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/25,甲醇,西北地区,陕西关中,2040,2060,2050,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/24,甲醇,西北地区,陕西关中,2040,2060,2050,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/23,甲醇,西北地区,陕西关中,2040,2060,2050,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/22,甲醇,西北地区,陕西关中,2040,2060,2050,5,0.24%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/19,甲醇,西北地区,陕西关中,2040,2050,2045,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/18,甲醇,西北地区,陕西关中,2040,2050,2045,10,0.49%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/17,甲醇,西北地区,陕西关中,2020,2050,2035,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/16,甲醇,西北地区,陕西关中,2020,2050,2035,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/15,甲醇,西北地区,陕西关中,2020,2050,2035,15,0.74%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/12,甲醇,西北地区,陕西关中,2000,2040,2020,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/11,甲醇,西北地区,陕西关中,2000,2040,2020,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/10,甲醇,西北地区,陕西关中,2000,2040,2020,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/09,甲醇,西北地区,陕西关中,2000,2040,2020,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/08,甲醇,西北地区,陕西关中,2000,2040,2020,25,1.25%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/05,甲醇,西北地区,陕西关中,1970,2020,1995,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/04,甲醇,西北地区,陕西关中,1970,2020,1995,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/03,甲醇,西北地区,陕西关中,1970,2020,1995,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/02,甲醇,西北地区,陕西关中,1970,2020,1995,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/01,甲醇,西北地区,陕西关中,1970,2020,1995,55,2.84%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/28,甲醇,西北地区,陕西关中,1910,1970,1940,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/27,甲醇,西北地区,陕西关中,1910,1970,1940,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/26,甲醇,西北地区,陕西关中,1910,1970,1940,5,0.26%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/25,甲醇,西北地区,陕西关中,1910,1960,1935,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/24,甲醇,西北地区,陕西关中,1910,1960,1935,30,1.57%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/21,甲醇,西北地区,陕西关中,1880,1930,1905,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/20,甲醇,西北地区,陕西关中,1880,1930,1905,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/19,甲醇,西北地区,陕西关中,1880,1930,1905,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/18,甲醇,西北地区,陕西关中,1880,1930,1905,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/17,甲醇,西北地区,陕西关中,1880,1930,1905,-40,-2.06%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/14,甲醇,西北地区,陕西关中,1920,1970,1945,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/13,甲醇,西北地区,陕西关中,1920,1970,1945,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/12,甲醇,西北地区,陕西关中,1920,1970,1945,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/11,甲醇,西北地区,陕西关中,1920,1970,1945,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/10,甲醇,西北地区,陕西关中,1920,1970,1945,-5,-0.26%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/07,甲醇,西北地区,陕西关中,1950,1950,1950,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/06,甲醇,西北地区,陕西关中,1950,1950,1950,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/05,甲醇,西北地区,陕西关中,1950,1950,1950,-40,-2.01%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/04,甲醇,西北地区,陕西关中,1970,2010,1990,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/11/03,甲醇,西北地区,陕西关中,1970,2010,1990,-40,-1.97%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/31,甲醇,西北地区,陕西关中,2020,2040,2030,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/30,甲醇,西北地区,陕西关中,2020,2040,2030,-10,-0.49%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/29,甲醇,西北地区,陕西关中,2020,2060,2040,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/28,甲醇,西北地区,陕西关中,2020,2060,2040,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/27,甲醇,西北地区,陕西关中,2020,2060,2040,15,0.74%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/24,甲醇,西北地区,陕西关中,2000,2050,2025,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/23,甲醇,西北地区,陕西关中,2000,2050,2025,10,0.5%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/22,甲醇,西北地区,陕西关中,2000,2030,2015,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/21,甲醇,西北地区,陕西关中,2000,2030,2015,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/20,甲醇,西北地区,陕西关中,2000,2030,2015,-80,-3.82%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/17,甲醇,西北地区,陕西关中,2070,2120,2095,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/16,甲醇,西北地区,陕西关中,2070,2120,2095,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/15,甲醇,西北地区,陕西关中,2070,2120,2095,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/14,甲醇,西北地区,陕西关中,2070,2120,2095,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/13,甲醇,西北地区,陕西关中,2070,2120,2095,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/11,甲醇,西北地区,陕西关中,2080,2110,2095,-15,-0.71%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/10,甲醇,西北地区,陕西关中,2110,2110,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/10/09,甲醇,西北地区,陕西关中,2110,2110,2110,-10,-0.47%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/30,甲醇,西北地区,陕西关中,2120,2120,2120,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/29,甲醇,西北地区,陕西关中,2120,2120,2120,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/28,甲醇,西北地区,陕西关中,2120,2120,2120,10,0.47%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/26,甲醇,西北地区,陕西关中,2100,2120,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/25,甲醇,西北地区,陕西关中,2100,2120,2110,-15,-0.71%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/24,甲醇,西北地区,陕西关中,2100,2150,2125,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/23,甲醇,西北地区,陕西关中,2100,2150,2125,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/22,甲醇,西北地区,陕西关中,2100,2150,2125,-5,-0.23%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/19,甲醇,西北地区,陕西关中,2130,2130,2130,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/18,甲醇,西北地区,陕西关中,2130,2130,2130,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/17,甲醇,西北地区,陕西关中,2130,2130,2130,-30,-1.39%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/16,甲醇,西北地区,陕西关中,2160,2160,2160,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/15,甲醇,西北地区,陕西关中,2160,2170,2160,-15,-0.69%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/12,甲醇,西北地区,陕西关中,2160,2190,2175,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/11,甲醇,西北地区,陕西关中,2160,2190,2175,10,0.46%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/10,甲醇,西北地区,陕西关中,2160,2170,2165,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/09,甲醇,西北地区,陕西关中,2160,2170,2165,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/08,甲醇,西北地区,陕西关中,2160,2170,2165,40,1.88%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/05,甲醇,西北地区,陕西关中,2110,2140,2125,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/04,甲醇,西北地区,陕西关中,2110,2140,2125,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/03,甲醇,西北地区,陕西关中,2110,2140,2125,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/02,甲醇,西北地区,陕西关中,2110,2140,2125,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/09/01,甲醇,西北地区,陕西关中,2110,2140,2125,-35,-1.62%,元/吨,厂提现汇,Methanol_Domestic,3
2025/08/29,甲醇,西北地区,陕西关中,2140,2180,2160,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/08/28,甲醇,西北地区,陕西关中,2140,2180,2160,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/08/27,甲醇,西北地区,陕西关中,2140,2180,2160,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/08/26,甲醇,西北地区,陕西关中,2140,2180,2160,-20,-0.92%,元/吨,厂提现汇,Methanol_Domestic,3
2025/08/25,甲醇,西北地区,陕西关中,2180,2180,2180,5,0.23%,元/吨,厂提现汇,Methanol_Domestic,3
2025/08/22,甲醇,西北地区,陕西关中,2160,2190,2175,0,0%,元/吨,出厂价,Methanol_Domestic,3
2025/08/21,甲醇,西北地区,陕西关中,2160,2190,2175,0,0%,元/吨,出厂价,Methanol_Domestic,3
2025/08/20,甲醇,西北地区,陕西关中,2160,2190,2175,0,0%,元/吨,出厂价,Methanol_Domestic,3
